Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time, SAT,
20:20 02-02, Random-8, 9-9-3, 13, 184, 8, 6134778, 6.67300009727, 2379664, 15.9390001297, 2479536, 17.0379998684, 324936, 1.46499991417, 0, 0, 
20:24 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.41499996185, 1781680, 11.6049985886, 2030416, 13.3420014381, 242856, 0.901999950409, 0, 0, 
20:28 02-02, Random-8, 9-9-3, 12, 176, 8, 5662872, 6.44499993324, 2085040, 15.481000185, 1982144, 14.8639998436, 329768, 2.50999999046, 0, 0, 34.8930001259, 1, 
20:29 02-02, Random-8, 9-9-3, 10, 120, 8, 4719060, 5.25299978256, 1172720, 7.97800016403, 1572336, 10.7869999409, 193064, 0.651999950409, 0, 0, 
20:33 02-02, Random-8, 9-9-3, 12, 176, 8, 5662872, 6.44600009918, 1923792, 13.3700006008, 2296112, 16.0059993267, 265064, 2.56200003624, 0, 0, 57.7769999504, 1, 
20:35 02-02, Random-8, 9-9-3, 13, 104, 8, 6134778, 6.70900011063, 1717344, 9.05000138283, 2256048, 11.8549985886, 135944, 1.79299998283, 0, 0, 3.99699997902, 1, 
20:36 02-02, Random-8, 9-9-3, 9, 112, 8, 4247154, 4.97600007057, 1084000, 6.89699959755, 1069744, 7.18500041962, 218216, 1.65399980545, 0, 0, 7.63799977303, 1, 
20:36 02-02, Random-8, 9-9-3, 12, 176, 8, 5662872, 6.45399999619, 2085040, 14.9030008316, 2000832, 15.3069992065, 292392, 1.23199987411, 0, 0, 90.1420001984, 1, 
20:38 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.4240000248, 1462032, 9.72600078583, 2227264, 14.5869994164, 277160, 0.914000034332, 0, 0, 122.118000031, 1, 
20:41 02-02, Random-8, 9-9-3, 13, 144, 8, 6134778, 6.69400000572, 2049664, 12.1440007687, 2522544, 15.0489990711, 184424, 0.625999927521, 0, 0, 33.5, 1, 
20:42 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.4470000267, 1626752, 9.69799923897, 2114864, 12.5100004673, 218696, 0.730000019073, 0, 0, 18.4100000858, 1, 
20:43 02-02, Random-8, 9-9-3, 11, 168, 8, 5190966, 6.16400003433, 1661280, 12.0710003376, 1888064, 14.1239993572, 295688, 1.02499985695, 0, 0, 
20:47 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.14400005341, 1531408, 9.11199975014, 1696656, 10.0600001812, 213224, 0.832000017166, 0, 0, 7.95200014114, 1, 
20:48 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.20000004768, 1390880, 8.26399993896, 1850992, 10.8849999905, 182792, 0.644000053406, 0, 0, 
20:52 02-02, Random-8, 9-9-3, 13, 144, 8, 6134778, 6.70600008965, 2049664, 12.7030005455, 2334320, 14.7019991875, 183368, 0.59500002861, 0, 0, 16.3949999809, 1, 
20:53 02-02, Random-8, 9-9-3, 11, 168, 8, 5190966, 6.22200012207, 1808128, 12.2069997787, 1803776, 12.5740001202, 337512, 1.7619998455, 0, 0, 48.6770000458, 1, 
20:55 02-02, Random-8, 9-9-3, 11, 168, 8, 5190966, 6.20000004768, 1504640, 12.1149981022, 2133344, 17.1210019588, 283848, 1.05399990082, 0, 0, 
20:59 02-02, Random-8, 9-9-3, 12, 96, 8, 5662872, 6.43799996376, 1476000, 7.7650001049, 1892016, 9.9509999752, 137096, 0.424000024796, 0, 0, 6.30500006676, 1, 
20:59 02-02, Random-8, 9-9-3, 9, 152, 8, 4247154, 4.98199987411, 1061552, 8.49599957466, 1532560, 12.0670003891, 266184, 0.983999967575, 0, 0, 
21:03 02-02, Random-8, 9-9-3, 10, 160, 8, 4719060, 5.2349998951, 1416480, 10.3220000267, 1648048, 12.4170000553, 233064, 0.9359998703, 0, 0, 
21:07 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.41700005531, 1626752, 9.70600032806, 2248528, 13.2139997482, 196392, 0.887000083923, 0, 0, 7.55700016022, 1, 
21:08 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.19299983978, 1390880, 8.73400044441, 1843648, 11.4769997597, 236424, 1.01099991798, 0, 0, 174.77699995, 1, 
21:11 02-02, Random-8, 9-9-3, 10, 120, 8, 4719060, 5.25800013542, 1172720, 7.14100074768, 1329200, 8.06199932098, 330280, 1.20900011063, 0, 0, 
21:15 02-02, Random-8, 9-9-3, 12, 176, 8, 5662872, 6.43899989128, 1923792, 14.0470016003, 2353952, 17.5879986286, 257544, 2.41699981689, 0, 0, 
21:19 02-02, Random-6, 9-9-3, 9, 152, 6, 4247154, 5.00999999046, 1061552, 8.41600131989, 1276464, 10.3299987316, 309862, 1.39400005341, 0, 0, 14.6050000191, 1, 
21:20 02-02, Random-4, 9-9-3, 8, 64, 4, 3775248, 4.20799994469, 596736, 3.12599921227, 676512, 3.53600072861, 110020, 0.345999956131, 0, 0, 2.70000004768, 1, 
21:20 02-02, Random-8, 9-9-3, 12, 176, 8, 5662872, 6.43300008774, 2085040, 14.6539998055, 2048960, 15.2320001125, 309480, 1.54299998283, 0, 0, 25.0729999542, 1, 
21:22 02-02, Random-4, 9-9-3, 6, 88, 4, 2831436, 3.25100016594, 398880, 2.83899974823, 489520, 3.31300020218, 187076, 0.914999961853, 0, 0, 2.08200001717, 1, 
21:22 02-02, Random-12, 9-9-3, 14, 192, 12, 6606684, 7.80800008774, 2501952, 18.0949983597, 3208992, 23.6210017204, 400204, 3.32300019264, 0, 0, 
21:26 02-02, Random-10, 9-9-3, 15, 200, 10, 7078590, 8.04399991035, 3022048, 20.4290015697, 3600352, 25.0639986992, 241066, 0.996000051498, 0, 
21:27 02-02, Random-3, 9-9-3, 6, 48, 3, 2831436, 3.28600001335, 337680, 1.78100013733, 411264, 2.16299986839, 58179, 0.180999994278, 0, 0, 1.29399991035, 1, 
21:27 02-02, Random-10, 9-9-3, 13, 184, 10, 6134778, 6.73799991608, 2204016, 15.5119998455, 2736672, 19.3360002041, 355914, 1.50899982452, 0, 0, 44.8280000687, 1, 
21:29 02-02, Random-12, 9-9-3, 16, 168, 12, 7550496, 8.34399986267, 2959888, 17.716999054, 3660016, 22.1910011768, 319020, 1.09100008011, 0, 
21:30 02-02, Random-8, 9-9-3, 10, 80, 8, 4719060, 5.26399993896, 926640, 4.89900016785, 1176192, 6.20599985123, 229256, 0.717000007629, 0, 0, 89.621999979, 1, 
21:32 02-02, Random-6, 9-9-3, 8, 104, 6, 3775248, 4.23100018501, 682416, 4.64299988747, 1148848, 7.47899985313, 146598, 0.536000013351, 0, 0, 11.5859999657, 1, 
21:32 02-02, Random-6, 9-9-3, 10, 160, 6, 4719060, 5.3220000267, 1416480, 10.3380002975, 1543152, 10.4659998417, 210854, 1.85100007057, 0, 0, 33.0800001621, 1, 
21:33 02-02, Random-11, 9-9-3, 14, 152, 11, 6606684, 7.81300020218, 2335360, 15.0469982624, 2527168, 16.6420016289, 411435, 1.69000005722, 0, 0, 
21:37 02-02, Random-9, 9-9-3, 11, 128, 9, 5190966, 6.23400020599, 1390880, 8.99700045586, 1876272, 12.1089994907, 220009, 0.969000101089, 0, 0, 
21:41 02-02, Random-5, 9-9-3, 8, 144, 5, 3775248, 4.1179997921, 866576, 7.6909995079, 1055168, 9.51100063324, 311749, 1.73700022697, 0, 0, 12.9399998188, 1, 
21:42 02-02, Random-12, 9-9-3, 13, 144, 12, 6134778, 6.742000103, 1880336, 11.7829992771, 2543328, 15.6930007935, 277452, 1.04200005531, 0, 0, 
21:46 02-02, Random-7, 9-9-3, 10, 160, 7, 4719060, 5.59099984169, 1416480, 11.5260007381, 1616752, 12.2249994278, 342439, 2.63199996948, 0, 0, 19.131000042, 1, 
21:47 02-02, Random-5, 9-9-3, 8, 104, 5, 3775248, 4.55800008774, 682416, 5.29200053215, 914288, 7.18499946594, 199973, 0.768999814987, 0, 0, 7.83100008965, 1, 
21:48 02-02, Random-6, 9-9-3, 10, 120, 6, 4719060, 5.79099988937, 1036800, 7.72999954224, 1422992, 10.3560006618, 275398, 1.29400014877, 0, 0, 17.4839999676, 1, 
21:48 02-02, Random-7, 9-9-3, 11, 168, 7, 5190966, 6.71299982071, 1504640, 11.6850008965, 2109056, 15.930999279, 229447, 0.908999919891, 0, 0, 
21:52 02-02, Random-3, 9-9-3, 5, 120, 3, 2359530, 2.82999992371, 458160, 4.36100053787, 297824, 3.81899952888, 143043, 0.819000005722, 0, 0, 220.623000145, 1, 
21:56 02-02, Random-7, 9-9-3, 11, 128, 7, 5190966, 6.71799993515, 1390880, 9.00900053978, 1535584, 9.94299936295, 294311, 2.29299998283, 0, 0, 17.751999855, 1, 
21:57 02-02, Random-8, 9-9-3, 13, 184, 8, 6134778, 7.05500006676, 2204016, 17.0690002441, 2710528, 21.1129996777, 289672, 1.18800020218, 0, 
21:58 02-02, Random-9, 9-9-3, 12, 176, 9, 5662872, 7.01600003242, 1923792, 13.4259991646, 2328944, 16.3910009861, 307561, 2.61000013351, 0, 0, 14.0360000134, 1, 
21:59 02-02, Random-7, 9-9-3, 9, 152, 7, 4247154, 4.9849998951, 1307440, 9.83200025558, 1139216, 7.73099970818, 351175, 2.94200015068, 0, 0, 3.38400006294, 1, 
22:00 02-02, Random-7, 9-9-3, 11, 128, 7, 5190966, 6.06900000572, 1390880, 8.37799978256, 1670528, 10.0790002346, 220711, 0.757999897003, 0, 0, 113.882999897, 1, 
22:02 02-02, Random-6, 9-9-3, 8, 104, 6, 3775248, 4.11099982262, 789536, 5.29600048065, 911072, 6.0539996624, 190630, 0.6890001297, 0, 0, 5.7349998951, 1, 
22:03 02-02, Random-3, 9-9-3, 6, 48, 3, 2831436, 3.22599983215, 265680, 1.40499997139, 460512, 2.40500020981, 67395, 0.207999944687, 0, 0, 1.20200014114, 1, 
22:03 02-02, Random-12, 9-9-3, 16, 208, 12, 7550496, 8.09399986267, 3150960, 21.9529993534, 4270688, 29.7070007324, 411788, 1.66300010681, 0, 
22:04 02-02, Random-8, 9-9-3, 13, 144, 8, 6134778, 6.47399997711, 1880336, 11.2500009537, 2528512, 14.9949991703, 258248, 1.00999999046, 0, 0, 46.765999794, 1, 
22:06 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.0, 1390880, 8.43600082397, 1863744, 11.1329991817, 196232, 0.698000192642, 0, 0, 
22:10 02-02, Random-7, 9-9-3, 10, 120, 7, 4719060, 5.08399987221, 1172720, 7.63100028038, 1513264, 9.92699980736, 166279, 0.664999961853, 0, 0, 22.5869998932, 1, 
22:10 02-02, Random-4, 9-9-3, 6, 88, 4, 2831436, 3.15100002289, 477200, 3.16300034523, 505984, 3.35199975967, 102436, 0.40399980545, 0, 0, 3.09599995613, 1, 
22:11 02-02, Random-4, 9-9-3, 8, 64, 4, 3775248, 4.07299995422, 596736, 3.10799980164, 733680, 3.83300018311, 94180, 0.950000047684, 0, 0, 2.19599986076, 1, 
22:11 02-02, Random-8, 9-9-3, 11, 168, 8, 5190966, 5.94099998474, 1661280, 11.9249989986, 1696640, 11.8330011368, 337544, 2.38700008392, 0, 0, 20.754999876, 1, 
22:12 02-02, Random-3, 9-9-3, 5, 40, 3, 2359530, 2.57500004768, 177120, 0.937999725342, 275328, 1.43600010872, 77187, 0.235999822617, 0, 0, 0.770999908447, 1, 
22:12 02-02, Random-5, 9-9-3, 6, 88, 5, 2831436, 3.14700007439, 477200, 3.27600026131, 269296, 2.1179997921, 292549, 1.08200001717, 0, 0, 
22:17 02-02, Random-12, 9-9-3, 16, 168, 12, 7550496, 8.14599990845, 2959888, 17.3110010624, 3822848, 22.1959989071, 290796, 0.953999996185, 0, 
22:19 02-02, Remote-5, 10-10-2, 16, 168, 15, 5113600, 5.30799984932, 1983360, 12.4059998989, 2482400, 16.1360003948, 196175, 0.981999874115, 0, 0, 3.00900006294, 1, 
22:20 02-02, Remote-7, 10-10-2, 22, 216, 21, 7031200, 7.90300011635, 3704064, 23.0490028858, 4828320, 31.0389971733, 274645, 1.34900021553, 0, 
