Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time (TO=240), SAT
17:37 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.0019998550415, 384, 0.0150001049042, 480, 0.0189998149872, 321, 0.00699996948242, 1, 0, 0.000999927520752, 1, 
17:38 02-05, Bridged Buttons, 2-2-2, 2, 16, 1, 992, 0.0019998550415, 384, 0.0150001049042, 480, 0.0190000534058, 321, 0.00600004196167, 2, 0, 0.000999927520752, 0, 
17:38 02-05, Bridged Buttons, 2-2-2, 3, 24, 2, 1488, 0.00100016593933, 1152, 0.0490000247955, 1152, 0.0519998073578, 1026, 0.0239999294281, 2, 0, 0.0019998550415, 1, 
17:38 02-05, Double LED, 3-3-2, 5, 40, 4, 12780, 0.0090000629425, 13248, 0.216000795364, 8880, 0.186999320984, 4324, 0.0450000762939, 0, 0, 0.0220000743866, 1, 
17:40 02-05, Remote-4, 8-8-2, 13, 144, 12, 1700608, 2.05300021172, 801792, 7.22000026703, 991232, 9.38099956512, 92172, 0.601999998093, 0, 0, 13.4429998398, 1, 
17:41 02-05, Remote-4, 8-8-2, 13, 144, 12, 1700608, 2.08799982071, 801792, 7.25099992752, 991232, 9.44200015068, 92172, 0.570999860764, 0, 0, 14.753000021, 1, 
17:43 02-05, Remote-4, 8-8-2, 13, 144, 12, 1700608, 1.97199988365, 801792, 7.13600039482, 991232, 9.2889995575, 92172, 0.564999818802, 0, 0, 13.1079998016, 1, 
18:24 02-05, Remote-2, 3-5-2, 7, 96, 6, 49980, 0.0529999732971, 34656, 1.54400014877, 45024, 2.12599992752, 6342, 0.182999849319, 0, 0, 0.130000114441, 0, 
18:24 02-05, Remote-2, 3-5-2, 8, 104, 7, 57120, 0.0360000133514, 47040, 1.9390001297, 59168, 2.63899970055, 9543, 0.25200009346, 0, 0, 0.333000183105, 0, 
18:24 02-05, Remote-2, 4-6-2, 7, 96, 6, 128352, 0.133000135422, 67584, 1.68299984932, 80416, 2.27500009537, 12742, 0.200000047684, 0, 0, 0.141999959946, 1, 
18:24 02-05, Remote-2, 8-12-2, 7, 96, 6, 2061696, 2.38100004196, 374784, 3.26699924469, 393024, 3.94300055504, 74118, 0.381999969482, 0, 0, 8.04299998283, 1, 
18:51 02-05, Remote-2, 3-7-2, 7, 96, 6, 98196, 0.0759999752045, 51744, 1.56299996376, 65344, 2.19599986076, 9478, 0.229000091553, 0, 0, 0.111999988556, 1, 
20:15 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.000999927520752, 384, 0.0160000324249, 480, 0.0190000534058, 321, 0.00600004196167, 1, 0, 0.000999927520752, 1, 
20:24 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00100016593933, 384, 0.0160000324249, 480, 0.0189998149872, 321, 0.00599980354309, 1, 0, 0.00200009346008, 1, 
20:25 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.000999927520752, 384, 0.0150001049042, 544, 0.0199999809265, 321, 0.00699996948242, 1, 0, 0.000999927520752, 1, 
20:25 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00100016593933, 384, 0.0160000324249, 544, 0.0209999084473, 321, 0.00699996948242, 1, 0, 0.00100016593933, 1, 
20:26 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00100016593933, 384, 0.0149998664856, 640, 0.0250000953674, 1, 0.0, 1, 0, 0.0, 0, 
20:26 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.000999927520752, 384, 0.0160000324249, 480, 0.0199999809265, 321, 0.00699996948242, 1, 0, 0.000999927520752, 1, 
20:37 02-05, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.000999927520752, 384, 0.0150001049042, 480, 0.0189998149872, 321, 0.00699996948242, 1, 0, 0.000999927520752, 1, 
23:30 02-06, Robmote, 3-7-2, 10, 80, 8, 140280, 0.132999897003, 176352, 1.60099983215, 110224, 1.12500023842, 15240, 0.170000076294, 0, 0, 5.24900007248, 1, 
23:37 02-06, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00100016593933, 384, 0.0149998664856, 480, 0.0190000534058, 321, 0.00600004196167, 1, 0, 0.000999927520752, 1, 
23:37 02-06, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00200009346008, 384, 0.0160000324249, 480, 0.0190000534058, 321, 0.00600004196167, 1, 0, 
00:39 02-07, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00100016593933, 384, 0.141999959946, 480, 0.246999979019, 321, 0.0820000171661, 1, 0, 0.000999927520752, 1, 
00:41 02-07, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00100016593933, 384, 0.151999950409, 480, 0.266999959946, 321, 0.0880000591278, 1, 0, 0.0019998550415, 1, 
01:25 02-07, Remote-6, 8-6-2, 19, 192, 18, 1397184, 1.66599988937, 1228032, 11.1680004597, 1626912, 15.689999342, 96210, 0.751000165939, 0, 0, 
02:13 02-07, Remote-6, 10-7-2, 19, 192, 18, 2973880, 3.38100004196, 1870272, 14.2979984283, 2434224, 19.6410017014, 152754, 0.9390001297, 0, 0, 919.736999989, 1, 
19:46 02-08, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.0019998550415, 384, 0.0139999389648, 480, 0.0190000534058, 321, 0.00699996948242, 1, 0, 0.00200009346008, 1, 
19:47 02-08, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.0019998550415, 384, 0.0150001049042, 480, 0.0179998874664, 321, 0.00600004196167, 1, 0, 0.000999927520752, 1, 
19:48 02-08, Remote-6, 10-7-2, 19, 192, 18, 2973880, 3.34500002861, 1870272, 14.3660018444, 2434224, 19.2879981995, 152754, 0.891000032425, 0, 0, 290.720999956, 1, 
20:18 02-08, Bridged Buttons, 4-4-3, 2, 16, 1, 36672, 0.0419998168945, 3072, 0.029000043869, 4608, 0.0380001068115, 3073, 0.0150001049042, 2, 0, 0.0120000839233, 0, 
20:18 02-08, Bridged Buttons, 4-4-3, 3, 24, 2, 55008, 0.0320000648499, 9216, 0.0880000591278, 11264, 0.0999999046326, 10242, 0.0499999523163, 2, 0, 0.0389997959137, 0, 
20:18 02-08, Bridged Buttons, 4-4-3, 2, 16, 1, 36672, 0.0429999828339, 3072, 0.029000043869, 4608, 0.0390000343323, 3073, 0.0149998664856, 2, 0, 0.0139999389648, 0, 
20:18 02-08, Bridged Buttons, 4-4-3, 3, 24, 2, 55008, 0.0320000648499, 9216, 0.0849997997284, 11264, 0.100000143051, 10242, 0.0490000247955, 2, 0, 0.0420000553131, 0, 
20:18 02-08, Bridged Buttons, 4-4-3, 4, 32, 3, 73344, 0.0460000038147, 18432, 0.173000097275, 21504, 0.214999914169, 18435, 0.0929999351501, 2, 0, 0.52899980545, 0, 
20:18 02-08, Bridged Buttons, 4-4-3, 5, 40, 4, 91680, 0.0550000667572, 30720, 0.315999746323, 35840, 0.321000337601, 26628, 0.133999824524, 2, 0, 9.04200005531, 0, 
20:18 02-08, Bridged Buttons, 4-4-3, 6, 48, 5, 110016, 0.0950000286102, 46080, 0.424000024796, 54272, 0.486999988556, 34821, 0.220999956131, 2, 0, 25.0899999142, 0, 
20:20 02-08, Bridged Buttons, 3-3-3, 2, 16, 1, 11556, 0.00800013542175, 1584, 0.0209999084473, 2448, 0.029000043869, 1633, 0.00999999046326, 2, 0, 0.00499987602234, 0, 
20:20 02-08, Bridged Buttons, 3-3-3, 3, 24, 2, 17334, 0.0120000839233, 4752, 0.0650000572205, 5952, 0.0769999027252, 5378, 0.0360000133514, 2, 0, 0.0170001983643, 0, 
20:20 02-08, Bridged Buttons, 3-3-3, 4, 32, 3, 23112, 0.0160000324249, 9504, 0.128000020981, 11328, 0.141999959946, 9603, 0.0659999847412, 2, 0, 0.0369999408722, 0, 
20:20 02-08, Bridged Buttons, 3-3-3, 5, 40, 4, 28890, 0.0169999599457, 15840, 0.216000080109, 18816, 0.236999988556, 13828, 0.101000070572, 2, 0, 0.0550000667572, 1, 
20:20 02-08, Bridged Buttons, 3-3-2, 2, 16, 1, 5112, 0.00399994850159, 1056, 0.0199999809265, 1224, 0.0230000019073, 817, 0.00800013542175, 2, 0, 0.00300002098083, 0, 
20:20 02-08, Bridged Buttons, 3-3-2, 3, 24, 2, 7668, 0.00600004196167, 3168, 0.058000087738, 2976, 0.0599999427795, 2690, 0.029000043869, 2, 0, 0.00800013542175, 0, 
20:20 02-08, Bridged Buttons, 3-3-2, 4, 32, 3, 10224, 0.007000207901, 6336, 0.111999988556, 5664, 0.109999895096, 4803, 0.055999994278, 2, 0, 0.0149998664856, 0, 
20:20 02-08, Bridged Buttons, 3-3-2, 5, 40, 4, 12780, 0.0090000629425, 10560, 0.188999176025, 9408, 0.195000648499, 6916, 0.0789999961853, 2, 0, 0.0299999713898, 1, 
20:25 02-08, Bridged Buttons, 3-3-3, 2, 16, 1, 11556, 0.00699996948242, 1584, 0.0209999084473, 2448, 0.0299999713898, 1633, 0.0119998455048, 2, 0, 0.00499987602234, 0, 
20:25 02-08, Bridged Buttons, 3-3-3, 3, 24, 2, 17334, 0.00999999046326, 4752, 0.0660002231598, 5952, 0.0749998092651, 5378, 0.0390000343323, 2, 0, 0.0149998664856, 0, 
20:25 02-08, Bridged Buttons, 3-3-3, 4, 32, 3, 23112, 0.0139999389648, 9504, 0.131999969482, 11328, 0.143000125885, 9603, 0.069000005722, 2, 0, 0.0360000133514, 0, 
20:25 02-08, Bridged Buttons, 3-3-3, 5, 40, 4, 28890, 0.0169999599457, 15840, 0.214000225067, 18816, 0.234999895096, 13828, 0.0979998111725, 2, 0, 0.0520000457764, 1, 
20:30 02-08, Bridged Buttons, 3-3-3, 2, 16, 1, 11556, 0.00699996948242, 1584, 0.0210001468658, 2448, 0.0329999923706, 1633, 0.0120000839233, 2, 0, 0.00600004196167, 0, 
20:30 02-08, Bridged Buttons, 3-3-3, 3, 24, 2, 17334, 0.010999917984, 4752, 0.0710000991821, 5952, 0.0789999961853, 5378, 0.0369999408722, 2, 0, 0.0150001049042, 0, 
20:30 02-08, Bridged Buttons, 3-3-3, 4, 32, 3, 23112, 0.0150001049042, 9504, 0.128999710083, 11328, 0.143000125885, 9603, 0.069000005722, 2, 0, 0.0380001068115, 0, 
20:30 02-08, Bridged Buttons, 3-3-3, 5, 40, 4, 28890, 0.0179998874664, 15840, 0.223000049591, 18816, 0.245000123978, 13828, 0.0999999046326, 2, 0, 0.058000087738, 1, 
16:54 12-07, Two Buttons, 2-2-2, 2, 16, 1, 992, 0.00200009346008, 384, 0.0119998455048, 480, 0.0150001049042, 321, 0.00500011444092, 1, 0, 0.0019998550415, 1, 
